latitude,longitude,confidence,frp
-11.807,142.0583,48,6.6
-11.7924,142.085,71,11.3
-12.8398,132.8744,42,23.1
-14.4306,143.3035,33,6.5
-12.4953,131.4897,36,27.6
-12.6191,142.1998,68,9.3
-14.3655,143.5682,24,5.9
-14.3195,143.5198,79,20.4
-13.1654,141.9715,72,9.9
-11.5473,132.6796,40,27.3
-11.5417,132.649,42,31.4
-11.5471,132.6538,65,52.7
-12.7626,142.1759,88,30.1
-12.705,133.907,57,20.6
-13.1092,134.1848,67,29.5
-14.0539,142.3327,52,7.8
-12.6996,133.9138,55,17.6
-12.7499,134.5251,66,22.8
-12.7141,134.3991,64,23
-12.7061,134.4077,64,21.2
-13.8656,141.9771,69,6.7
-12.6491,134.3953,79,57.7
-13.1015,134.1926,55,17.2
-12.6703,142.1102,78,13.7
-13.3042,142.04,76,11.6
-13.2236,141.9914,69,16.2
-13.2821,142.4617,19,5.4
-13.2159,142.002,52,17.6
-13.2537,142.5242,37,4.3
-12.4513,141.8071,68,13
-12.4527,141.8162,83,21.8
-12.544,142.4455,57,8.8
-12.463,141.8241,51,8.2
-12.5567,141.8979,88,31.5
-12.5581,141.9071,56,8.9
-13.2313,131.9106,68,49.9
-13.2394,131.9032,72,61.1
-13.2993,131.9598,54,37
-13.3151,131.9569,44,31.6
-15.3551,142.3028,72,15
-15.3658,142.3113,85,25
-14.2726,135.0443,62,15.3
-15.4778,142.5924,70,10.7
-14.3048,134.9182,75,35.7
-14.308,134.9367,66,20.5
-12.7613,142.1666,71,10.1
-12.8447,132.9017,78,80.1
-12.8782,132.9177,53,24.7
-15.0081,131.7665,46,30.2
-15.7637,137.0728,75,208.1
-15.7678,137.0335,35,14.5
-15.7699,137.046,93,71.3
-15.7863,137.0816,59,17.1
-14.651,130.5884,53,46.2
-14.6536,130.5824,47,40
-14.6614,130.6219,43,42
-14.727,130.6886,40,39.4
-14.9422,131.8184,70,54.8
-15.7616,137.0603,79,44.5
-15.1411,131.1486,54,46.2
-15.1317,131.1449,27,37.3
-16.144,136.7135,100,162.2
-15.1544,131.1757,20,31.4
-16.1479,136.6726,95,84.5
-16.1501,136.6857,92,69.9
-16.1545,136.7117,89,52
-16.1646,136.6428,80,30.8
-15.1018,130.5473,47,33.9
-15.1089,130.5845,13,27.9
-15.1657,129.9294,64,76.1
-15.1644,129.9221,58,63.3
-15.5022,130.6313,55,68.1
-15.4825,130.4364,49,48.5
-15.4967,130.6638,16,44.7
-15.5059,130.623,54,65.5
-15.485,130.4285,44,39.6
-14.0156,131.5979,63,49.2
-20.7333,139.479,59,5.9
-28.0219,148.1972,46,31
-32.2111,146.7604,39,19.2
-32.2088,146.7257,68,38.7
-14.6671,126.7783,59,98.1
-14.668,126.7715,77,114.8
-14.6721,126.8129,77,114.9
-14.6855,126.7699,90,287.9
-14.6896,126.8108,50,113.4
-14.7213,126.7612,61,45.5
-16.0896,125.9278,58,45.9
-16.0778,125.9238,43,33.1
-16.1692,125.9902,56,37.5
-14.6846,126.7765,93,362.5
-29.6694,116.5634,62,7.4
-29.429,115.0197,58,5.3
-34.082,116.7357,62,14.4
-31.2771,115.845,49,5.6
-32.4999,116.0805,46,8.5
-32.8685,116.5515,51,9.7
-33.7142,122.2123,59,35.1
-33.6942,117.6054,32,9.7
-33.6976,117.2918,54,11.8
-34.0838,116.7459,59,11.8
-33.9346,115.166,43,7.1
-34.1447,116.3721,98,138.3
-34.1465,116.3881,100,461.8
-34.1486,116.3819,100,470.3
-34.1502,116.3977,91,72.4
-34.5699,118.5261,29,11.8
-34.5719,118.5483,64,22
-33.5541,147.8052,62,9.6
-34.468,150.8807,61,9.9
-31.7148,151.0734,85,26.3
-31.7162,151.0615,67,8.3
-31.7932,148.5045,80,29.5
-31.7949,148.4881,87,53.4
-31.3758,150.696,50,6
-31.3773,150.6837,80,18.3
-31.3949,149.6613,21,10.4
-30.8634,150.7224,59,5.1
-30.8649,150.7103,65,5.9
-32.7107,147.0208,64,15.6
-31.8089,150.3822,61,7.4
-29.558,152.1505,55,12.9
-30.3403,147.721,69,20.7
-30.413,148.553,68,10.9
-30.8997,147.6905,55,9.8
-30.4042,152.0655,35,6.5
-30.9441,147.7144,64,15.7
-30.9428,147.7031,76,25.3
-32.8059,149.3534,58,9.4
-32.712,147.0259,66,16
-32.208,146.7333,47,20.4
-29.5127,148.5623,48,10.3
-28.0156,148.2017,84,56
-29.088,148.4866,76,19.6
-24.6606,151.3671,78,23.3
-24.6682,151.3786,81,23.4
-24.6578,151.3869,82,18.7
-19.4815,146.3895,52,19.6
-19.4922,146.3912,94,140.7
-19.4995,146.4203,86,68.7
-19.4927,146.4757,49,14.8
-19.5102,146.422,55,14.4
-19.4939,146.3771,6,16.7
-18.6816,145.7365,61,15.5
-14.8508,144.3189,100,405.8
-14.8529,144.3027,88,67.7
-13.2252,141.9932,57,61
-13.2352,141.9781,70,60.2
-13.2325,142.0011,83,75.9
-13.3346,142.0185,36,19.9
-13.5224,142.6336,69,24.5
-13.6289,141.9563,66,37
-13.5903,142.621,47,13.4
-13.5872,142.6256,68,21.2
-13.8268,143.14,34,10.8
-15.4776,142.5811,47,20
-15.0828,144.9226,51,12.2
-15.0421,144.9773,57,15.6
-15.0416,144.9704,34,13.9
-15.038,144.8193,66,16.5
-15.0267,144.8179,72,18.7
-15.0594,144.4606,32,18
-14.9914,144.9189,68,24.9
-14.9417,144.8623,49,20.2
-14.9436,144.8472,63,42.9
-14.8715,144.408,76,52.9
-14.8676,144.3426,62,30.9
-14.8695,144.3264,60,24.4
-14.8559,144.3411,94,105.5
-14.8579,144.3248,99,170.7
-14.8598,144.3086,91,86.4
-14.8443,144.3396,65,55.1
-14.8462,144.3233,100,395.1
-14.8481,144.307,100,214.6
-14.8488,144.3351,95,122.3
-11.7949,142.0856,38,21.5
-12.018,141.8599,49,30.9
-11.8598,142.1847,25,21.4
-33.7971,120.7667,86,104.3
-33.3438,120.8919,65,24.2
-33.3513,120.8858,48,15
-33.3014,120.9884,51,15.7
-33.7994,120.7996,76,53.2
-33.8013,120.7719,90,145.8
-26.1473,129.3442,63,8.9
-22.2687,124.8861,95,59.2
-22.9423,128.2021,56,6.7
-22.9439,128.1919,65,9.8
-22.2645,124.9169,69,11.7
-22.2659,124.9067,74,15
-22.2673,124.8964,88,35.6
-22.2701,124.8758,82,24.1
-20.7789,119.4428,75,45.8
-20.7918,119.4444,85,81.1
-20.7941,119.4234,80,57.3
-20.7811,119.4219,72,37.6
-15.1927,130.34,70,26.4
-16.9071,122.7686,51,8.5
-15.4903,130.6806,17,28.2
-15.5022,130.6125,74,42.5
-15.5052,130.5955,85,56.7
-15.5081,130.5788,55,28.9
-15.511,130.562,62,28.5
-15.5139,130.5452,63,28.7
-15.5012,130.6593,65,36.9
-15.5041,130.6423,59,29.2
-15.5069,130.6255,45,24.6
-15.5097,130.6084,77,46.1
-15.5126,130.5914,65,35.5
-15.4905,130.4331,55,23
-15.4755,130.3795,74,56.8
-16.1733,126.0054,39,11.5
-16.1747,125.996,95,55.7
-15.4381,130.5266,92,91.1
-15.441,130.5098,91,84.8
-16.1643,126.004,67,15.8
-15.4292,130.5077,79,36.5
-15.4435,130.5206,65,32.8
-15.4317,130.5184,98,152.4
-15.4345,130.5017,53,23.8
-15.3797,130.7558,57,37.8
